,trial,start_time,end_time,key,freq_category,condition,reaction_time
0,heren,112.83862990001217,113.21833029994741,y,HF,rw,0.3797003999352455
1,buidels,114.25565880001523,115.06818139995448,y,LF,rw,0.8125225999392569
2,boek,116.10472840000875,116.55921199987642,y,HF,rw,0.45448359986767173
3,juist,117.58597829984501,118.41801299992949,y,HF,rw,0.8320347000844777
4,rokan,119.4528954999987,119.71907590003684,n,none,nw,0.26618040003813803
5,ant,120.75238760001957,120.88412229996175,y,none,nw,0.13173469994217157
6,balkons,121.91716729989275,122.39109539985657,y,LF,rw,0.473928099963814
7,open,123.41684750001878,124.26741109997965,y,HF,rw,0.8505635999608785
8,kuukt,125.29892400000244,128.09380239993334,y,none,nw,2.7948783999308944
9,herken,129.12986069987528,129.72586170001887,n,none,nw,0.5960010001435876
10,venkel,130.76108009996824,131.6240490998607,y,LF,rw,0.8629689998924732
11,gietsen,132.66099520004354,133.44090439984575,y,none,nw,0.779909199802205
12,breent,134.47726499987766,134.72781319986098,y,none,nw,0.2505481999833137
13,barse,135.75871139997616,136.2945911998395,n,LF,rw,0.5358797998633236
14,sta,137.32639830000699,137.75205539981835,y,HF,rw,0.42565709981136024
15,gefaapt,138.79195760004222,139.19951379997656,y,none,nw,0.40755619993433356
16,zerder,140.2235448998399,140.639718899969,y,none,nw,0.41617400012910366
17,flans,141.67324949987233,142.449037599843,y,LF,rw,0.7757880999706686
18,rieve,143.48842810001224,144.00031609996222,y,none,nw,0.5118879999499768
19,brad,145.03799099987373,145.59074449981563,y,none,nw,0.5527534999419004
