,trial,start_time,end_time,key,freq_category,condition,reaction_time
0,klaam,78.35858160001226,78.85877649998292,y,none,nw,0.5001948999706656
1,liek,79.89228319982067,83.50533670000732,y,none,nw,3.613053500186652
2,vebras,84.53849920001812,86.04365259991027,y,none,nw,1.5051533998921514
3,zelijk,87.07087969989516,91.07825609995052,y,none,nw,4.007376400055364
4,tombel,92.11772300000302,92.28563870000653,n,none,nw,0.16791570000350475
5,hese,93.3169634998776,93.65215349989012,y,LF,rw,0.335190000012517
6,mijk,94.68108309991658,95.41653839987703,n,none,nw,0.7354552999604493
7,gefruld,96.44752549985424,96.9251373000443,y,none,nw,0.47761180019006133
8,fankel,97.9651399999857,98.20405349996872,n,none,nw,0.23891349998302758
9,plond,99.23005519993603,99.49070329987444,y,none,nw,0.26064809993840754
10,bluurde,100.52921730000526,100.82951299985871,y,none,nw,0.30029569985345006
11,rons,101.86144729983062,101.9582872998435,y,none,nw,0.0968400000128895
12,wrongel,102.99467839999124,103.16280619986355,y,LF,rw,0.16812779987230897
13,spurt,104.19361940003,104.43099080002867,n,LF,rw,0.23737139999866486
14,hen,105.46034929994494,105.68813199992292,y,HF,rw,0.22778269997797906
15,oker,106.72609889996238,106.90374660002999,y,LF,rw,0.17764770006760955
16,groeken,107.94236360001378,108.06458080001175,n,none,nw,0.12221719999797642
17,kadders,109.09157009981573,109.30026499996893,y,none,nw,0.2086949001532048
18,deun,110.32356209983118,110.48378929984756,n,LF,rw,0.16022720001637936
19,woei,111.52218459988944,111.80414070002735,y,LF,rw,0.2819561001379043
