,trial,start_time,end_time,key,freq_category,condition,reaction_time
0,idee,49.325022199889645,49.59042599983513,y,HF,rw,0.26540379994548857
1,millag,50.62623569997959,50.840286099817604,y,none,nw,0.21405039983801544
2,gevels,51.87349609984085,52.67444880004041,y,LF,rw,0.8009527001995593
3,pectars,53.70598239987157,53.98000939982012,y,none,nw,0.2740269999485463
4,margriet,55.00506439991295,55.270949699915946,y,LF,rw,0.26588530000299215
5,hormen,56.30461120000109,56.71148119983263,y,none,nw,0.4068699998315424
6,beitels,57.73807159997523,58.068198199849576,y,LF,rw,0.33012659987434745
7,had,59.103327999822795,61.267819499829784,y,HF,rw,2.1644915000069886
8,labber,62.30016710003838,62.45925149996765,y,none,nw,0.15908439992927015
9,heren,63.48307009995915,63.78787629981525,y,HF,rw,0.30480619985610247
10,baby,64.81642659986392,65.04974749987014,y,HF,rw,0.23332090000621974
11,soort,66.08210149989463,66.26318089989945,n,HF,rw,0.18107940000481904
12,bij,67.29818109981716,67.46892259991728,y,HF,rw,0.1707415001001209
13,sfinxen,68.4973063999787,68.89714549994096,n,LF,rw,0.3998390999622643
14,gewunnen,69.93009309982881,70.47019140003249,y,none,nw,0.540098300203681
15,krijg,71.49577879998833,72.39090939983726,y,HF,rw,0.8951305998489261
16,giep,73.42699779989198,73.66475899983197,y,none,nw,0.237761199939996
17,woei,74.69322220003232,74.8416295000352,y,LF,rw,0.14840730000287294
18,polders,75.87645939993672,76.0388782999944,y,LF,rw,0.16241890005767345
19,etui,77.07588330004364,77.32711589988321,n,LF,rw,0.25123259983956814
